feature,precision,recall,fbeta,category
workclass,0.5831842576028623,0.9235127478753541,0.7149122807017543,State-gov
workclass,0.4472049689440994,0.8950276243093923,0.5964104924068109,Self-emp-not-inc
workclass,0.5453986220472441,0.8932097521660286,0.6772591857000994,Private
workclass,0.6847389558232931,0.9191374663072777,0.7848101265822786,Federal-gov
workclass,0.5844700944386149,0.9027552674230146,0.7095541401273885,Local-gov
workclass,0.43103448275862066,0.9162303664921466,0.5862646566164154,?
workclass,0.7087264150943396,0.9662379421221865,0.817687074829932,Self-emp-inc
workclass,0.0,1.0,0.0,Without-pay
workclass,1.0,1.0,1.0,Never-worked
education,0.6816504528681651,0.9149031967582171,0.7812379853902346,Bachelors
education,0.39254327563249003,0.88,0.5429097605893187,HS-grad
education,0.7368421052631579,0.4666666666666667,0.5714285714285714,11th
education,0.7692307692307693,0.9384775808133472,0.8454673555659934,Masters
education,0.6428571428571429,0.3333333333333333,0.43902439024390244,9th
education,0.4712121212121212,0.8968997837058399,0.6178296498634218,Some-college
education,0.5309734513274337,0.9056603773584906,0.6694560669456068,Assoc-acdm
education,0.5015337423312883,0.9058171745152355,0.6456071076011847,Assoc-voc
education,0.59375,0.475,0.5277777777777778,7th-8th
education,0.816711590296496,0.9901960784313726,0.895125553914328,Doctorate
education,0.8346613545816733,0.9905437352245863,0.9059459459459459,Prof-school
education,1.0,0.4375,0.6086956521739131,5th-6th
education,0.3602941176470588,0.7903225806451613,0.4949494949494949,10th
education,0.42857142857142855,0.5,0.4615384615384615,1st-4th
education,0.0,1.0,0.0,Preschool
education,0.313953488372093,0.8181818181818182,0.453781512605042,12th
marital-status,0.802013422818792,0.48676171079429736,0.605830164765526,Never-married
marital-status,0.5365753311939438,0.9744471010161386,0.6920668612364022,Married-civ-spouse
marital-status,0.7796610169491526,0.49676025917926564,0.6068601583113457,Divorced
marital-status,0.7727272727272727,0.5,0.6071428571428571,Married-spouse-absent
marital-status,0.95,0.5757575757575758,0.7169811320754716,Separated
marital-status,1.0,0.4,0.5714285714285715,Married-AF-spouse
marital-status,0.9696969696969697,0.3764705882352941,0.5423728813559322,Widowed
occupation,0.5067415730337078,0.8895463510848126,0.6456692913385826,Adm-clerical
occupation,0.7027027027027027,0.9380081300813008,0.8034820457018499,Exec-managerial
occupation,0.2803347280334728,0.7790697674418605,0.4123076923076923,Handlers-cleaners
occupation,0.7225042301184433,0.9187735341581496,0.8089036230168127,Prof-specialty
occupation,0.3605769230769231,0.5474452554744526,0.4347826086956522,Other-service
occupation,0.5625798212005109,0.896236012207528,0.6912514711651627,Sales
occupation,0.4099165439371625,0.898815931108719,0.5630478759271746,Craft-repair
occupation,0.36764705882352944,0.859375,0.5149812734082397,Transport-moving
occupation,0.26975476839237056,0.8608695652173913,0.4107883817427386,Farming-fishing
occupation,0.3522012578616352,0.896,0.5056433408577878,Machine-op-inspct
occupation,0.6466165413533834,0.911660777385159,0.7565982404692081,Tech-support
occupation,0.43103448275862066,0.9162303664921466,0.5862646566164154,?
occupation,0.5270655270655271,0.8767772511848341,0.6583629893238435,Protective-serv
occupation,0.5,1.0,0.6666666666666666,Armed-Forces
occupation,0.2,1.0,0.33333333333333337,Priv-house-serv
relationship,0.7891891891891892,0.5116822429906542,0.6208362863217577,Not-in-family
relationship,0.5312098402790527,0.9778641432916526,0.6884368308351179,Husband
relationship,0.5867768595041323,0.9530201342281879,0.7263427109974425,Wife
relationship,0.7878787878787878,0.3880597014925373,0.52,Own-child
relationship,0.8660714285714286,0.44495412844036697,0.5878787878787879,Unmarried
relationship,0.5609756097560976,0.6216216216216216,0.5897435897435899,Other-relative
race,0.5541039965620971,0.905859210341436,0.6876066552901023,White
race,0.5098335854765507,0.8708010335917312,0.6431297709923663,Black
